Common name,Scientific name,Status,No.,No. Back
New Caledonian Nightjar,Eurostopodus exul,,0,0
Satanic Nightjar,Eurostopodus diabolicus,,4,0
Papuan Nightjar,Eurostopodus papuensis,,5,0
Archbold's Nightjar,Eurostopodus archboldi,,0,0
Malaysian Eared Nightjar,Lyncornis temminckii,,19,2
Great Eared Nightjar,Lyncornis macrotis,,73,17
Collared Nightjar,Gactornis enarratus,,0,0
Nacunda Nighthawk,Chordeiles nacunda,,21,1
Least Nighthawk,Chordeiles pusillus,,57,9
Sand-colored Nighthawk,Chordeiles rupestris,,11,4
Lesser Nighthawk,Chordeiles acutipennis,,93,26
Common Nighthawk,Chordeiles minor,,158,115
Antillean Nighthawk,Chordeiles gundlachii,,25,1
Short-tailed Nighthawk,Lurocalis semitorquatus,,153,20
Rufous-bellied Nighthawk,Lurocalis rufiventris,,27,11
Band-tailed Nighthawk,Nyctiprogne leucopyga,,39,9
Plain-tailed Nighthawk,Nyctiprogne vielliardi,,3,0
Blackish Nightjar,Nyctipolus nigrescens,,42,2
Pygmy Nightjar,Nyctipolus hirundinaceus,,11,0
Pauraque,Nyctidromus albicollis,,499,185
Anthony's Nightjar,Nyctidromus anthonyi,,23,1
Todd's Nightjar,Setopagis heterura,,1,0
Little Nightjar,Setopagis parvula,,87,30
Roraiman Nightjar,Setopagis whitelyi,,0,0
Cayenne Nightjar,Setopagis maculosa,,0,0
Sickle-winged Nightjar,Eleothreptus anomalus,,39,0
White-winged Nightjar,Eleothreptus candicans,,6,0
Band-winged Nightjar,Systellura longirostris,,133,9
Tschudi's Nightjar,Systellura decussata,,9,0
Swallow-tailed Nightjar,Uropsalis segmentata,,27,3
Lyre-tailed Nightjar,Uropsalis lyra,,39,0
White-tailed Nightjar,Hydropsalis cayennensis,,36,0
Spot-tailed Nightjar,Hydropsalis maculicaudus,,68,10
Ladder-tailed Nightjar,Hydropsalis climacocerca,,33,0
Scissor-tailed Nightjar,Hydropsalis torquata,,41,2
Long-trained Nightjar,Macropsalis forcipata,,10,0
Least Poorwill,Siphonorhis brewsteri,,6,0
Jamaican Poorwill,Siphonorhis americana,Extinct,0,0
Choco Poorwill,Nyctiphrynus rosenbergi,,30,5
Eared Poorwill,Nyctiphrynus mcleodii,,17,3
Yucatan Poorwill,Nyctiphrynus yucatanicus,,17,1
Ocellated Poorwill,Nyctiphrynus ocellatus,,108,108
Common Poorwill,Phalaenoptilus nuttallii,,173,136
Chuck-will's-widow,Antrostomus carolinensis,,118,28
Rufous Nightjar,Antrostomus rufus,,115,22
Cuban Nightjar,Antrostomus cubanensis,,1,0
Hispaniolan Nightjar,Antrostomus ekmani,,7,0
Tawny-collared Nightjar,Antrostomus salvini,,8,0
Yucatan Nightjar,Antrostomus badius,,9,1
Silky-tailed Nightjar,Antrostomus sericocaudatus,,60,7
Buff-collared Nightjar,Antrostomus ridgwayi,,67,16
Eastern Whip-poor-will,Antrostomus vociferus,,99,16
Mexican Whip-poor-will,Antrostomus arizonae,,132,52
Puerto Rican Nightjar,Antrostomus noctitherus,,10,1
Dusky Nightjar,Antrostomus saturatus,,25,1
Brown Nightjar,Veles binotatus,,17,0
Red-necked Nightjar,Caprimulgus ruficollis,,120,35
Jungle Nightjar,Caprimulgus indicus,,26,8
Grey Nightjar,Caprimulgus jotaka,,77,12
Palau Nightjar,Caprimulgus phalaena,,1,0
European Nightjar,Caprimulgus europaeus,,1285,144
Sombre Nightjar,Caprimulgus fraenatus,,1,0
Rufous-cheeked Nightjar,Caprimulgus rufigena,,35,10
Egyptian Nightjar,Caprimulgus aegyptius,,11,0
Sykes's Nightjar,Caprimulgus mahrattensis,,2,0
Nubian Nightjar,Caprimulgus nubicus,,14,1
Golden Nightjar,Caprimulgus eximius,,10,0
Jerdon's Nightjar,Caprimulgus atripennis,,52,8
Large-tailed Nightjar,Caprimulgus macrurus,,230,43
Mees's Nightjar,Caprimulgus meesi,,17,3
Andaman Nightjar,Caprimulgus andamanicus,,11,0
Philippine Nightjar,Caprimulgus manillensis,,26,0
Sulawesi Nightjar,Caprimulgus celebensis,,8,0
Donaldson Smith's Nightjar,Caprimulgus donaldsoni,,7,1
Black-shouldered Nightjar,Caprimulgus nigriscapularis,,32,2
Fiery-necked Nightjar,Caprimulgus pectoralis,,102,17
Montane Nightjar,Caprimulgus poliocephalus,,45,0
Indian Nightjar,Caprimulgus asiaticus,,53,4
Madagascar Nightjar,Caprimulgus madagascariensis,,32,6
Swamp Nightjar,Caprimulgus natalensis,,25,5
Nechisar Nightjar,Caprimulgus solala,,0,0
Plain Nightjar,Caprimulgus inornatus,,6,1
Star-spotted Nightjar,Caprimulgus stellatus,,1,0
Savanna Nightjar,Caprimulgus affinis,,107,18
Freckled Nightjar,Caprimulgus tristigma,,49,5
Bonaparte's Nightjar,Caprimulgus concretus,,8,2
Salvadori's Nightjar,Caprimulgus pulchellus,,9,0
Prigogine's Nightjar,Caprimulgus prigoginei,,0,0
Bates's Nightjar,Caprimulgus batesi,,9,0
Long-tailed Nightjar,Caprimulgus climacurus,,24,3
Slender-tailed Nightjar,Caprimulgus clarus,,48,2
Square-tailed Nightjar,Caprimulgus fossii,,31,4
Standard-winged Nightjar,Caprimulgus longipennis,,11,0
Pennant-winged Nightjar,Caprimulgus vexillarius,,9,0
Oilbird,Steatornis caripensis,,69,0
Great Potoo,Nyctibius grandis,,71,19
Long-tailed Potoo,Nyctibius aethereus,,41,15
Northern Potoo,Nyctibius jamaicensis,,18,3
Common Potoo,Nyctibius griseus,,208,76
Andean Potoo,Nyctibius maculosus,,10,0
White-winged Potoo,Nyctibius leucopterus,,50,3
Rufous Potoo,Nyctibius bracteatus,,26,2
Marbled Frogmouth,Podargus ocellatus,,23,3
Papuan Frogmouth,Podargus papuensis,,22,1
Tawny Frogmouth,Podargus strigoides,,29,7
Solomons Frogmouth,Rigidipenna inexpectata,,15,0
Large Frogmouth,Batrachostomus auritus,,32,0
Dulit Frogmouth,Batrachostomus harterti,,5,0
Philippine Frogmouth,Batrachostomus septimus,,29,0
Gould's Frogmouth,Batrachostomus stellatus,,32,1
Sri Lanka Frogmouth,Batrachostomus moniliger,,27,0
Hodgson's Frogmouth,Batrachostomus hodgsoni,,21,0
Sumatran Frogmouth,Batrachostomus poliolophus,,7,0
Bornean Frogmouth,Batrachostomus mixtus,,9,0
Javan Frogmouth,Batrachostomus javensis,,14,0
Blyth's Frogmouth,Batrachostomus affinis,,48,4
Palawan Frogmouth,Batrachostomus chaseni,,8,0
Sunda Frogmouth,Batrachostomus cornutus,,28,0
Feline Owlet-nightjar,Aegotheles insignis,,10,0
Starry Owlet-nightjar,Aegotheles tatei,,9,0
Moluccan Owlet-nightjar,Aegotheles crinifrons,,27,1
Wallace's Owlet-nightjar,Aegotheles wallacii,,12,0
Mountain Owlet-nightjar,Aegotheles albertisi,,8,0
New Caledonian Owlet-nightjar,Aegotheles savesi,,0,0
Barred Owlet-nightjar,Aegotheles bennettii,,6,0
Vogelkop Owlet-nightjar,Aegotheles affinis,,0,0
Australian Owlet-nightjar,Aegotheles cristatus,,57,21
Crested Treeswift,Hemiprocne coronata,,33,5
Grey-rumped Treeswift,Hemiprocne longipennis,,39,1
Whiskered Treeswift,Hemiprocne comata,,20,2
Moustached Treeswift,Hemiprocne mystacea,,14,1
Spot-fronted Swift,Cypseloides cherriei,,7,1
White-chinned Swift,Cypseloides cryptus,,7,2
White-fronted Swift,Cypseloides storeri,,4,0
Sooty Swift,Cypseloides fumigatus,,15,1
Rothschild's Swift,Cypseloides rothschildi,,4,0
American Black Swift,Cypseloides niger,,17,4
White-chested Swift,Cypseloides lemosi,,2,0
Great Dusky Swift,Cypseloides senex,,3,0
Tepui Swift,Streptoprocne phelpsi,,6,0
Chestnut-collared Swift,Streptoprocne rutila,,28,4
White-collared Swift,Streptoprocne zonaris,,93,11
Biscutate Swift,Streptoprocne biscutata,,30,2
White-naped Swift,Streptoprocne semicollaris,,4,0
Giant Swiftlet,Hydrochous gigas,,0,0
Plume-toed Swiftlet,Collocalia affinis,,22,1
Grey-rumped Swiftlet,Collocalia marginata,,0,0
Ridgetop Swiftlet,Collocalia isonota,,1,0
Tenggara Swiftlet,Collocalia sumbawae,,1,0
Drab Swiftlet,Collocalia neglecta,,1,0
Glossy Swiftlet,Collocalia esculenta,,5,0
Satin Swiftlet,Collocalia uropygialis,,1,0
Bornean Swiftlet,Collocalia dodgei,,15,0
Cave Swiftlet,Collocalia linchi,,3,2
Christmas Island Swiftlet,Collocalia natalis,,0,0
Pygmy Swiftlet,Collocalia troglodytes,,3,0
Seychelles Swiftlet,Aerodramus elaphrus,,2,0
Mascarene Swiftlet,Aerodramus francicus,,14,0
Indian Swiftlet,Aerodramus unicolor,,8,0
Philippine Swiftlet,Aerodramus mearnsi,,7,0
Halmahera Swiftlet,Aerodramus infuscatus,,1,0
Sulawesi Swiftlet,Aerodramus sororum,,1,0
Seram Swiftlet,Aerodramus ceramensis,,2,0
Mountain Swiftlet,Aerodramus hirundinaceus,,9,1
White-rumped Swiftlet,Aerodramus spodiopygius,,8,1
Australian Swiftlet,Aerodramus terraereginae,,1,0
Himalayan Swiftlet,Aerodramus brevirostris,,6,0
Volcano Swiftlet,Aerodramus vulcanorum,,0,0
Whitehead's Swiftlet,Aerodramus whiteheadi,,0,0
Bare-legged Swiftlet,Aerodramus nuditarsus,,0,0
Mayr's Swiftlet,Aerodramus orientalis,,0,0
Mossy-nest Swiftlet,Aerodramus salangana,,1,0
Uniform Swiftlet,Aerodramus vanikorensis,,10,0
Ameline Swiftlet,Aerodramus amelis,,4,0
Palau Swiftlet,Aerodramus pelewensis,,1,0
Mariana Swiftlet,Aerodramus bartschi,,0,0
Island Swiftlet,Aerodramus inquietus,,5,0
Tahiti Swiftlet,Aerodramus leucophaeus,,1,0
Atiu Swiftlet,Aerodramus sawtelli,,5,0
Marquesan Swiftlet,Aerodramus ocistus,,2,0
Black-nest Swiftlet,Aerodramus maximus,,2,0
Edible-nest Swiftlet,Aerodramus fuciphagus,,10,1
Germain's Swiftlet,Aerodramus germani,,16,0
Three-toed Swiftlet,Aerodramus papuensis,,0,0
Scarce Swift,Schoutedenapus myoptilus,,11,3
Philippine Spine-tailed Swift,Mearnsia picina,,0,0
Papuan Spine-tailed Swift,Mearnsia novaeguineae,,3,0
Madagascar Spinetail,Zoonavena grandidieri,,0,0
Sao Tome Spinetail,Zoonavena thomensis,,4,0
White-rumped Spinetail,Zoonavena sylvatica,,1,0
Mottled Spinetail,Telacanthura ussheri,,2,0
Black Spinetail,Telacanthura melanopygia,,1,0
Silver-rumped Spinetail,Rhaphidura leucopygialis,,10,0
Sabine's Spinetail,Rhaphidura sabini,,2,0
Cassin's Spinetail,Neafrapus cassini,,0,0
Böhm's Spinetail,Neafrapus boehmi,,1,0
White-throated Needletail,Hirundapus caudacutus,,5,0
Silver-backed Needletail,Hirundapus cochinchinensis,,1,0
Brown-backed Needletail,Hirundapus giganteus,,1,0
Purple Needletail,Hirundapus celebensis,,0,0
Grey-rumped Swift,Chaetura cinereiventris,,77,29
Band-rumped Swift,Chaetura spinicaudus,,36,7
Lesser Antillean Swift,Chaetura martinica,,2,0
Costa Rican Swift,Chaetura fumosa,,4,1
Pale-rumped Swift,Chaetura egregia,,16,6
Chimney Swift,Chaetura pelagica,,53,64
Vaux's Swift,Chaetura vauxi,,40,10
Chapman's Swift,Chaetura chapmani,,30,2
Ashy-tailed Swift,Chaetura andrei,,0,0
Sick's Swift,Chaetura meridionalis,,74,10
Short-tailed Swift,Chaetura brachyura,,64,15
White-throated Swift,Aeronautes saxatalis,,63,34
White-tipped Swift,Aeronautes montivagus,,29,8
Andean Swift,Aeronautes andecolus,,27,5
Antillean Palm Swift,Tachornis phoenicobia,,10,0
Pygmy Palm Swift,Tachornis furcata,,0,1
Neotropical Palm Swift,Tachornis squamata,,53,17
Great Swallow-tailed Swift,Panyptila sanctihieronymi,,9,0
Lesser Swallow-tailed Swift,Panyptila cayennensis,,13,3
African Palm Swift,Cypsiurus parvus,,44,7
Malagasy Palm Swift,Cypsiurus gracilis,,4,0
Asian Palm Swift,Cypsiurus balasiensis,,35,13
Alpine Swift,Tachymarptis melba,,169,16
Mottled Swift,Tachymarptis aequatorialis,,3,1
Cape Verde Swift,Apus alexandri,,6,0
Common Swift,Apus apus,,708,440
Plain Swift,Apus unicolor,,32,4
Nyanza Swift,Apus niansae,,4,0
Pallid Swift,Apus pallidus,,283,74
African Black Swift,Apus barbatus,,12,5
Malagasy Black Swift,Apus balstoni,,12,3
Fernando Po Swift,Apus sladeniae,,0,0
Forbes-Watson's Swift,Apus berliozi,,4,4
Bradfield's Swift,Apus bradfieldi,,5,4
Pacific Swift,Apus pacificus,,37,7
Salim Ali's Swift,Apus salimalii,,3,0
Blyth's Swift,Apus leuconyx,,1,0
Cook's Swift,Apus cooki,,8,0
Dark-rumped Swift,Apus acuticauda,,1,0
Little Swift,Apus affinis,,112,46
House Swift,Apus nipalensis,,55,4
Horus Swift,Apus horus,,4,0
White-rumped Swift,Apus caffer,,94,19
Bates's Swift,Apus batesi,,2,0
Crimson Topaz,Topaza pella,,28,1
Fiery Topaz,Topaza pyra,,43,1
White-necked Jacobin,Florisuga mellivora,,46,3
Black Jacobin,Florisuga fusca,,42,3
White-tipped Sicklebill,Eutoxeres aquila,,26,0
Buff-tailed Sicklebill,Eutoxeres condamini,,5,0
Saw-billed Hermit,Ramphodon naevius,,67,25
Hook-billed Hermit,Glaucis dohrnii,,24,0
Bronzy Hermit,Glaucis aeneus,,14,1
Rufous-breasted Hermit,Glaucis hirsutus,,44,10
Band-tailed Barbthroat,Threnetes ruckeri,,42,7
Pale-tailed Barbthroat,Threnetes leucurus,,21,3
Sooty Barbthroat,Threnetes niger,,0,0
Broad-tipped Hermit,Anopetia gounellei,,9,0
Dusky-throated Hermit,Phaethornis squalidus,,20,1
Streak-throated Hermit,Phaethornis rupurumii,,16,0
Little Hermit,Phaethornis longuemareus,,17,5
Tapajos Hermit,Phaethornis aethopygus,,6,0
Minute Hermit,Phaethornis idaliae,,5,0
Cinnamon-throated Hermit,Phaethornis nattereri,,20,3
Black-throated Hermit,Phaethornis atrimentalis,,17,0
Stripe-throated Hermit,Phaethornis striigularis,,96,11
Grey-chinned Hermit,Phaethornis griseogularis,,49,7
Reddish Hermit,Phaethornis ruber,,141,90
White-browed Hermit,Phaethornis stuarti,,2,1
Buff-bellied Hermit,Phaethornis subochraceus,,9,2
Sooty-capped Hermit,Phaethornis augusti,,12,0
Planalto Hermit,Phaethornis pretrei,,75,16
Scale-throated Hermit,Phaethornis eurynome,,119,28
Pale-bellied Hermit,Phaethornis anthophilus,,16,1
White-bearded Hermit,Phaethornis hispidus,,28,32
White-whiskered Hermit,Phaethornis yaruqui,,65,39
Green Hermit,Phaethornis guy,,105,32
Tawny-bellied Hermit,Phaethornis syrmatophorus,,53,10
Koepcke's Hermit,Phaethornis koepckeae,,4,2
Needle-billed Hermit,Phaethornis philippii,,12,42
Straight-billed Hermit,Phaethornis bourcieri,,42,4
Mexican Hermit,Phaethornis mexicanus,,5,0
Long-billed Hermit,Phaethornis longirostris,,106,10
Long-tailed Hermit,Phaethornis superciliosus,,53,8
Great-billed Hermit,Phaethornis malaris,,65,19
Green-fronted Lancebill,Doryfera ludovicae,,15,1
Blue-fronted Lancebill,Doryfera johannae,,17,0
White-throated Daggerbill,Schistes albogularis,,32,0
Geoffroy's Daggerbill,Schistes geoffroyi,,15,3
Hyacinth Visorbearer,Augastes scutatus,,25,1
Hooded Visorbearer,Augastes lumachella,,27,1
Brown Violetear,Colibri delphinae,,92,5
Mexican Violetear,Colibri thalassinus,,65,36
Lesser Violetear,Colibri cyanotus,,294,196
Sparkling Violetear,Colibri coruscans,,229,162
White-vented Violetear,Colibri serrirostris,,87,16
Tooth-billed Hummingbird,Androdon aequatorialis,,35,6
Horned Sungem,Heliactin bilophus,,21,0
Purple-crowned Fairy,Heliothryx barroti,,10,0
Black-eared Fairy,Heliothryx auritus,,17,0
White-tailed Goldenthroat,Polytmus guainumbi,,33,0
Tepui Goldenthroat,Polytmus milleri,,2,0
Green-tailed Goldenthroat,Polytmus theresiae,,34,4
Fiery-tailed Awlbill,Avocettula recurvirostris,,5,0
Ruby-topaz Hummingbird,Chrysolampis mosquitus,,21,2
Jamaican Mango,Anthracothorax mango,,1,0
Black-throated Mango,Anthracothorax nigricollis,,41,6
Green-throated Mango,Anthracothorax viridigula,,6,0
Green-breasted Mango,Anthracothorax prevostii,,13,4
Veraguan Mango,Anthracothorax veraguensis,,7,0
Antillean Mango,Anthracothorax dominicus,,6,1
Green Mango,Anthracothorax viridis,,1,0
Green-throated Carib,Eulampis holosericeus,,3,0
Purple-throated Carib,Eulampis jugularis,,3,0
Orange-throated Sunangel,Heliangelus mavors,,5,0
Amethyst-throated Sunangel,Heliangelus amethysticollis,,15,4
Longuemare's Sunangel,Heliangelus clarisse,,17,1
Merida Sunangel,Heliangelus spencei,,5,0
Gorgeted Sunangel,Heliangelus strophianus,,8,1
Tourmaline Sunangel,Heliangelus exortis,,19,3
Flame-throated Sunangel,Heliangelus micraster,,7,0
Purple-throated Sunangel,Heliangelus viola,,22,0
Royal Sunangel,Heliangelus regalis,,10,0
Green-backed Firecrown,Sephanoides sephaniodes,,48,35
Juan Fernandez Firecrown,Sephanoides fernandensis,,11,0
Green Thorntail,Discosura conversii,,7,1
Wire-crested Thorntail,Discosura popelairii,,2,0
Black-bellied Thorntail,Discosura langsdorffi,,3,0
Letitia's Thorntail,Discosura letitiae,,0,0
Racket-tailed Coquette,Discosura longicaudus,,6,0
Tufted Coquette,Lophornis ornatus,,3,0
Dot-eared Coquette,Lophornis gouldii,,2,0
Frilled Coquette,Lophornis magnificus,,8,0
Short-crested Coquette,Lophornis brachylophus,,0,0
Rufous-crested Coquette,Lophornis delattrei,,6,0
Spangled Coquette,Lophornis stictolophus,,3,0
Festive Coquette,Lophornis chalybeus,,4,0
Butterfly Coquette,Lophornis verreauxii,,4,0
Peacock Coquette,Lophornis pavoninus,,0,0
Black-crested Coquette,Lophornis helenae,,1,0
White-crested Coquette,Lophornis adorabilis,,3,0
Ecuadorian Piedtail,Phlogophilus hemileucurus,,33,8
Peruvian Piedtail,Phlogophilus harterti,,3,0
Speckled Hummingbird,Adelomyia melanogenys,,139,35
Long-tailed Sylph,Aglaiocercus kingii,,31,3
Violet-tailed Sylph,Aglaiocercus coelestis,,28,4
Venezuelan Sylph,Aglaiocercus berlepschi,,2,0
Red-tailed Comet,Sappho sparganurus,,39,6
Bronze-tailed Comet,Polyonymus caroli,,5,0
Grey-bellied Comet,Taphrolesbia griseiventris,,4,0
Andean Hillstar,Oreotrochilus estella,,12,0
White-sided Hillstar,Oreotrochilus leucopleurus,,6,0
Ecuadorian Hillstar,Oreotrochilus chimborazo,,7,0
Blue-throated Hillstar,Oreotrochilus cyanolaemus,,10,0
Green-headed Hillstar,Oreotrochilus stolzmanni,,5,0
Black-breasted Hillstar,Oreotrochilus melanogaster,,4,1
Wedge-tailed Hillstar,Oreotrochilus adela,,10,0
Mountain Avocetbill,Opisthoprora euryptera,,5,0
Black-tailed Trainbearer,Lesbia victoriae,,29,14
Green-tailed Trainbearer,Lesbia nuna,,23,1
Black-backed Thornbill,Ramphomicron dorsale,,4,0
Purple-backed Thornbill,Ramphomicron microrhynchum,,21,2
Bronze-tailed Thornbill,Chalcostigma heteropogon,,6,1
Rainbow-bearded Thornbill,Chalcostigma herrani,,6,0
Rufous-capped Thornbill,Chalcostigma ruficeps,,6,1
Olivaceous Thornbill,Chalcostigma olivaceum,,1,0
Blue-mantled Thornbill,Chalcostigma stanleyi,,15,1
Buffy Helmetcrest,Oxypogon stuebelii,,14,0
Blue-bearded Helmetcrest,Oxypogon cyanolaemus,,2,0
White-bearded Helmetcrest,Oxypogon lindenii,,3,0
Green-bearded Helmetcrest,Oxypogon guerinii,,7,0
Bearded Mountaineer,Oreonympha nobilis,,4,1
Tyrian Metaltail,Metallura tyrianthina,,175,42
Perija Metaltail,Metallura iracunda,,5,0
Viridian Metaltail,Metallura williami,,19,1
Violet-throated Metaltail,Metallura baroni,,5,0
Neblina Metaltail,Metallura odomae,,13,1
Coppery Metaltail,Metallura theresiae,,7,2
Fiery-throated Metaltail,Metallura eupogon,,2,0
Scaled Metaltail,Metallura aeneocauda,,5,2
Black Metaltail,Metallura phoebe,,7,0
Greenish Puffleg,Haplophaedia aureliae,,20,3
Buff-thighed Puffleg,Haplophaedia assimilis,,6,0
Hoary Puffleg,Haplophaedia lugens,,8,0
Black-breasted Puffleg,Eriocnemis nigrivestis,,4,0
Gorgeted Puffleg,Eriocnemis isabellae,,0,0
Glowing Puffleg,Eriocnemis vestita,,8,1
Black-thighed Puffleg,Eriocnemis derbyi,,7,0
Turquoise-throated Puffleg,Eriocnemis godini,,0,0
Coppery-bellied Puffleg,Eriocnemis cupreoventris,,5,0
Sapphire-vented Puffleg,Eriocnemis luciani,,10,0
Golden-breasted Puffleg,Eriocnemis mosquera,,1,0
Blue-capped Puffleg,Eriocnemis glaucopoides,,1,1
Colorful Puffleg,Eriocnemis mirabilis,,3,0
Emerald-bellied Puffleg,Eriocnemis aline,,7,0
Marvelous Spatuletail,Loddigesia mirabilis,,8,0
Shining Sunbeam,Aglaeactis cupripennis,,10,2
White-tufted Sunbeam,Aglaeactis castelnaudii,,2,0
Purple-backed Sunbeam,Aglaeactis aliciae,,14,0
Black-hooded Sunbeam,Aglaeactis pamela,,16,1
Bronzy Inca,Coeligena coeligena,,23,2
Brown Inca,Coeligena wilsoni,,30,18
Black Inca,Coeligena prunellei,,15,0
Collared Inca,Coeligena torquata,,12,1
Violet-throated Starfrontlet,Coeligena violifer,,14,6
Rainbow Starfrontlet,Coeligena iris,,22,2
White-tailed Starfrontlet,Coeligena phalerata,,3,0
Dusky Starfrontlet,Coeligena orina,,6,0
Buff-winged Starfrontlet,Coeligena lutetiae,,33,16
Golden-bellied Starfrontlet,Coeligena bonapartei,,8,2
Blue-throated Starfrontlet,Coeligena helianthea,,3,0
Mountain Velvetbreast,Lafresnaya lafresnayi,,21,1
Sword-billed Hummingbird,Ensifera ensifera,,10,0
Great Sapphirewing,Pterophanes cyanopterus,,11,0
Buff-tailed Coronet,Boissonneaua flavescens,,47,6
Chestnut-breasted Coronet,Boissonneaua matthewsii,,23,4
Velvet-purple Coronet,Boissonneaua jardini,,21,0
White-booted Racket-tail,Ocreatus underwoodii,,48,28
Peruvian Racket-tail,Ocreatus peruanus,,11,11
Rufous-booted Racket-tail,Ocreatus addae,,3,2
Rufous-gaped Hillstar,Urochroa bougueri,,3,2
Green-backed Hillstar,Urochroa leucura,,8,0
Purple-bibbed Whitetip,Urosticte benjamini,,16,0
Rufous-vented Whitetip,Urosticte ruficrissa,,10,0
Velvet-browed Brilliant,Heliodoxa xanthogonys,,5,0
Pink-throated Brilliant,Heliodoxa gularis,,6,0
Rufous-webbed Brilliant,Heliodoxa branickii,,1,0
Black-throated Brilliant,Heliodoxa schreibersii,,15,0
Gould's Jewelfront,Heliodoxa aurescens,,12,0
Fawn-breasted Brilliant,Heliodoxa rubinoides,,27,1
Green-crowned Brilliant,Heliodoxa jacula,,18,1
Empress Brilliant,Heliodoxa imperatrix,,10,0
Violet-fronted Brilliant,Heliodoxa leadbeateri,,26,9
Brazilian Ruby,Clytolaema rubricauda,,52,7
Giant Hummingbird,Patagona gigas,,51,4
Violet-chested Hummingbird,Sternoclyta cyanopectus,,1,0
Scissor-tailed Hummingbird,Hylonympha macrocerca,,7,0
Rivoli's Hummingbird,Eugenes fulgens,,111,58
Talamanca Hummingbird,Eugenes spectabilis,,17,0
Fiery-throated Hummingbird,Panterpe insignis,,28,7
Long-billed Starthroat,Heliomaster longirostris,,19,4
